Year,Date,DayLabel,Month,Day,Mile,Waypoint,Lat,Lon,Elev_ft,SnowDepth_in,SWE_in
2024,2024-03-15,Mar-15,3,15,0.0,Snoqualmie Pass (Hwy 90),47.407447,-121.430052,3193.0,71.5,28.9
2024,2024-03-15,Mar-15,3,15,1.0,Mile 1.0,47.418288,-121.424192,3475.0,69.1,28.7
2024,2024-03-15,Mar-15,3,15,2.0,Mile 2.0,47.42623,-121.417504,2966.0,63.7,24.5
2024,2024-03-15,Mar-15,3,15,3.0,Mile 3.0,47.425435,-121.405356,3314.0,65.6,26.4
2024,2024-03-15,Mar-15,3,15,4.0,Mile 4.0,47.432661,-121.404496,3816.0,67.1,28.8
2024,2024-03-15,Mar-15,3,15,5.0,Gold Lake Bog area,47.443728,-121.393188,3983.0,66.1,28.7
2024,2024-03-15,Mar-15,3,15,6.0,Mile 6.0,47.43261,-121.397234,4604.0,71.6,33.3
2024,2024-03-15,Mar-15,3,15,7.0,Mile 7.0,47.439465,-121.386273,4982.0,72.4,34.8
2024,2024-03-15,Mar-15,3,15,8.0,Mile 8.0,47.448942,-121.381093,5396.0,73.6,36.7
2024,2024-03-15,Mar-15,3,15,9.0,Mile 9.0,47.458733,-121.368883,5460.0,72.9,36.4
2024,2024-03-15,Mar-15,3,15,10.0,Chikamin Peak area,47.464356,-121.353763,5192.0,70.6,34.4
2024,2024-03-15,Mar-15,3,15,11.0,Mile 11.0,47.464978,-121.344074,5368.0,71.4,35.2
2024,2024-03-15,Mar-15,3,15,12.0,Mile 12.0,47.471002,-121.336211,5153.0,69.7,33.7
2024,2024-03-15,Mar-15,3,15,13.0,Mile 13.0,47.47708,-121.326692,5619.0,72.1,36.2
2024,2024-03-15,Mar-15,3,15,14.0,Mile 14.0,47.473993,-121.315639,5783.0,73.0,37.1
2024,2024-03-15,Mar-15,3,15,15.0,Park Lakes Basin,47.463219,-121.307398,5643.0,72.4,36.3
2024,2024-03-15,Mar-15,3,15,16.0,Mile 16.0,47.45712,-121.300061,5425.0,71.1,34.9
2024,2024-03-15,Mar-15,3,15,17.0,Mile 17.0,47.451878,-121.292414,4908.0,68.0,31.7
2024,2024-03-15,Mar-15,3,15,18.0,Mile 18.0,47.452655,-121.281981,5207.0,69.5,33.3
2024,2024-03-15,Mar-15,3,15,19.0,Mile 19.0,47.455798,-121.276036,4540.0,65.3,29.2
2024,2024-03-15,Mar-15,3,15,20.0,Waptus River,47.458763,-121.272058,3963.0,61.7,25.7
2024,2024-03-15,Mar-15,3,15,21.0,Mile 21.0,47.460427,-121.266479,3460.0,58.5,22.6
